feature,importance
strength_inverse_x_period,12725.0
wave_cav_tail_risk,7785.0
floor_height_x_period,7006.0
damper_install_ratio,6492.0
wave_pga_x_period,6011.0
wave_intensity_tail_risk,5411.0
wave_spectral_centroid_x_period,5267.0
tail_risk_proxy,5021.0
wave_arias_tail_risk,4632.0
wave_structure_period_log_gap,4594.0
damper_story_1,4287.0
wave_intensity_score_x_period,4172.0
damper_story_2,4075.0
wave_arias_proxy_x_period,3572.0
wave_cav_x_period,3514.0
wave_to_structure_period_ratio,3466.0
floor_height,3457.0
height_to_stiffness,3432.0
flexibility_x_period,3254.0
floor_mass_x_period,3199.0
Fy_add,3182.0
mass_to_stiffness,2834.0
num_floors_x_period,2825.0
damper_story_3,2783.0
period_1_sec,2254.0
damper_install_count,2169.0
damper_story_4,1959.0
k_base_1_4,1821.0
structure_to_wave_period_ratio,1730.0
floor_mass,1327.0
damper_story_5,1109.0
damper_sparse_ratio,1088.0
num_floors,967.0
damper_story_6,859.0
wave_pga,820.0
wave_zero_crossing_rate,820.0
waveform_acc_scaled_0013,786.0
log1p_tail_risk_proxy,743.0
wave_spectral_centroid,740.0
waveform_acc_scaled_0015,689.0
waveform_acc_scaled_0011,681.0
waveform_acc_scaled_0020,669.0
waveform_acc_scaled_0019,648.0
waveform_acc_scaled_0012,635.0
waveform_acc_scaled_0023,629.0
wave_rms,614.0
waveform_acc_scaled_0034,591.0
damper_story_7,584.0
waveform_acc_scaled_0014,572.0
waveform_acc_scaled_0016,561.0
waveform_acc_scaled_0024,556.0
waveform_acc_scaled_0032,554.0
waveform_acc_scaled_0035,549.0
waveform_acc_scaled_0021,548.0
waveform_acc_scaled_0009,548.0
waveform_acc_scaled_0018,519.0
waveform_acc_scaled_0002,509.0
waveform_acc_scaled_0006,499.0
waveform_acc_scaled_0022,492.0
waveform_acc_scaled_0038,489.0
waveform_acc_scaled_0074,487.0
waveform_acc_scaled_0036,484.0
waveform_acc_scaled_0008,478.0
wave_duration_5_95,477.0
inv_Fy_add,476.0
waveform_acc_scaled_0063,463.0
waveform_acc_scaled_0030,461.0
waveform_acc_scaled_0073,459.0
waveform_acc_scaled_0007,458.0
waveform_acc_scaled_0010,457.0
waveform_acc_scaled_0093,453.0
waveform_acc_scaled_0049,452.0
waveform_acc_scaled_0077,452.0
waveform_acc_scaled_0000,450.0
waveform_acc_scaled_0026,450.0
waveform_acc_scaled_0057,446.0
waveform_acc_scaled_0027,437.0
waveform_acc_scaled_0003,435.0
waveform_acc_scaled_0078,433.0
wave_dominant_freq,432.0
waveform_acc_scaled_0067,426.0
waveform_acc_scaled_0031,423.0
waveform_acc_scaled_0104,419.0
waveform_acc_scaled_0061,418.0
waveform_acc_scaled_0017,413.0
waveform_acc_scaled_0050,411.0
waveform_acc_scaled_0004,411.0
waveform_acc_scaled_0001,407.0
waveform_acc_scaled_0060,406.0
waveform_acc_scaled_0044,404.0
waveform_acc_scaled_0043,403.0
waveform_acc_scaled_0085,402.0
waveform_acc_scaled_0040,401.0
waveform_acc_scaled_0028,399.0
waveform_acc_scaled_0037,399.0
waveform_acc_scaled_0062,398.0
waveform_acc_scaled_0046,398.0
waveform_acc_scaled_0091,395.0
waveform_acc_scaled_0025,393.0
waveform_acc_scaled_0005,387.0
waveform_acc_scaled_0047,385.0
waveform_acc_scaled_0033,384.0
waveform_acc_scaled_0069,382.0
waveform_acc_scaled_0041,380.0
waveform_acc_scaled_0029,379.0
waveform_acc_scaled_0098,379.0
waveform_acc_scaled_0111,377.0
waveform_acc_scaled_0099,373.0
waveform_acc_scaled_0039,370.0
waveform_acc_scaled_0075,369.0
waveform_acc_scaled_0066,369.0
waveform_acc_scaled_0071,368.0
waveform_acc_scaled_0090,367.0
waveform_acc_scaled_0054,366.0
waveform_acc_scaled_0120,364.0
waveform_acc_scaled_0089,363.0
waveform_acc_scaled_0072,361.0
waveform_acc_scaled_0087,361.0
waveform_acc_scaled_0092,360.0
waveform_acc_scaled_0107,360.0
waveform_acc_scaled_0103,355.0
waveform_acc_scaled_0068,351.0
log1p_period_1_sec,350.0
waveform_acc_scaled_0110,349.0
waveform_acc_scaled_0094,349.0
waveform_acc_scaled_0118,347.0
waveform_acc_scaled_0080,345.0
waveform_acc_scaled_0119,345.0
waveform_acc_scaled_0051,344.0
waveform_acc_scaled_0097,343.0
waveform_acc_scaled_0058,342.0
waveform_acc_scaled_0088,342.0
waveform_acc_scaled_0114,340.0
waveform_acc_scaled_0065,340.0
waveform_acc_scaled_0055,339.0
waveform_acc_scaled_0052,339.0
waveform_acc_scaled_0102,336.0
waveform_acc_scaled_0053,335.0
waveform_acc_scaled_0116,334.0
waveform_acc_scaled_0105,330.0
waveform_acc_scaled_0048,325.0
waveform_acc_scaled_0108,322.0
waveform_acc_scaled_0042,322.0
waveform_acc_scaled_0059,320.0
waveform_acc_scaled_0045,319.0
waveform_acc_scaled_0100,315.0
waveform_acc_scaled_0064,313.0
waveform_acc_scaled_0121,310.0
waveform_acc_scaled_0086,305.0
waveform_acc_scaled_0083,304.0
waveform_acc_scaled_0076,304.0
waveform_acc_scaled_0101,303.0
waveform_acc_scaled_0109,299.0
waveform_acc_scaled_0123,299.0
waveform_acc_scaled_0084,298.0
waveform_acc_scaled_0124,295.0
waveform_acc_scaled_0096,293.0
waveform_acc_scaled_0070,290.0
waveform_acc_scaled_0117,286.0
waveform_acc_scaled_0112,285.0
waveform_acc_scaled_0095,283.0
waveform_acc_scaled_0082,282.0
waveform_acc_scaled_0115,280.0
waveform_acc_scaled_0113,279.0
waveform_acc_scaled_0122,276.0
waveform_acc_scaled_0106,274.0
inv_k_base_1_4,267.0
waveform_acc_scaled_0081,264.0
waveform_acc_scaled_0079,262.0
waveform_acc_scaled_0056,250.0
wave_dominant_freq_x_period,248.0
wave_mean_abs,215.0
wave_intensity_score,187.0
log1p_wave_spectral_centroid,121.0
log1p_wave_pga,109.0
log1p_wave_zero_crossing_rate,98.0
wave_arias_proxy,80.0
wave_predominant_period,80.0
log1p_wave_duration_5_95,71.0
period_squared,39.0
wave_cav,31.0
log1p_wave_intensity_score,19.0
log1p_wave_dominant_freq,14.0
log1p_wave_rms,9.0
log1p_wave_mean_abs,3.0
log1p_wave_predominant_period,2.0
log1p_wave_arias_proxy,1.0
