feature,importance
log1p_wave_dominant_freq,0.18997690081596375
wave_dominant_freq,0.10830406099557877
wave_arias_proxy,0.06324062496423721
wave_cav_tail_risk,0.06247608736157417
wave_predominant_period,0.0445568710565567
wave_rms,0.028368348255753517
waveform_acc_scaled_0034,0.027784058824181557
wave_intensity_tail_risk,0.02542000450193882
wave_spectral_centroid,0.023193344473838806
log1p_wave_spectral_centroid,0.019840342923998833
floor_height,0.016248788684606552
damper_story_1,0.01570543460547924
waveform_acc_scaled_0032,0.014789746142923832
log1p_wave_zero_crossing_rate,0.01401237677782774
log1p_wave_arias_proxy,0.01274634338915348
wave_intensity_score,0.011844852939248085
waveform_acc_scaled_0114,0.011694144457578659
mass_to_stiffness,0.011347854509949684
log1p_wave_intensity_score,0.010151325725018978
waveform_acc_scaled_0106,0.009522787295281887
waveform_acc_scaled_0027,0.009442324750125408
waveform_acc_scaled_0063,0.008251347579061985
wave_zero_crossing_rate,0.007990047335624695
waveform_acc_scaled_0087,0.007378352340310812
wave_structure_period_log_gap,0.006637577433139086
waveform_acc_scaled_0035,0.006632728967815638
log1p_tail_risk_proxy,0.006393007934093475
damper_story_2,0.006054318509995937
waveform_acc_scaled_0043,0.005939494352787733
waveform_acc_scaled_0110,0.005814789328724146
log1p_wave_pga,0.005678131245076656
wave_arias_proxy_x_period,0.005199746694415808
waveform_acc_scaled_0011,0.005026920232921839
tail_risk_proxy,0.004466082900762558
waveform_acc_scaled_0092,0.004398551303893328
inv_k_base_1_4,0.004306372720748186
inv_Fy_add,0.004092487972229719
wave_pga,0.004036955535411835
Fy_add,0.003852148773148656
k_base_1_4,0.0037517521996051073
waveform_acc_scaled_0014,0.0035605053417384624
flexibility_x_period,0.0034843296743929386
wave_arias_tail_risk,0.003453250275924802
waveform_acc_scaled_0108,0.003368016332387924
waveform_acc_scaled_0121,0.003039454109966755
waveform_acc_scaled_0074,0.002960502402856946
waveform_acc_scaled_0111,0.002941396087408066
waveform_acc_scaled_0036,0.002847819123417139
waveform_acc_scaled_0050,0.0028458493761718273
waveform_acc_scaled_0116,0.00281618838198483
waveform_acc_scaled_0026,0.0027465918101370335
waveform_acc_scaled_0053,0.0026926230639219284
waveform_acc_scaled_0093,0.002636661985889077
waveform_acc_scaled_0010,0.002475271699950099
waveform_acc_scaled_0051,0.00245684408582747
waveform_acc_scaled_0068,0.0021089836955070496
waveform_acc_scaled_0058,0.0020983184222131968
waveform_acc_scaled_0060,0.0020711037795990705
floor_height_x_period,0.0020536414813250303
waveform_acc_scaled_0040,0.002038197824731469
waveform_acc_scaled_0067,0.0020140553824603558
damper_install_ratio,0.0019366720225661993
log1p_wave_rms,0.0019345958717167377
waveform_acc_scaled_0009,0.001899086870253086
waveform_acc_scaled_0019,0.0018680563662201166
waveform_acc_scaled_0103,0.001833624322898686
wave_pga_x_period,0.001804626896046102
waveform_acc_scaled_0118,0.0017937046941369772
waveform_acc_scaled_0037,0.0017674972768872976
waveform_acc_scaled_0061,0.0017390524735674262
wave_spectral_centroid_x_period,0.0016805831110104918
waveform_acc_scaled_0078,0.0016488427063450217
structure_to_wave_period_ratio,0.001623232034035027
waveform_acc_scaled_0038,0.0016204861458390951
damper_story_3,0.0016024572541937232
waveform_acc_scaled_0000,0.0015544034540653229
waveform_acc_scaled_0084,0.0014472343027591705
waveform_acc_scaled_0002,0.0014438015641644597
waveform_acc_scaled_0001,0.0014363364316523075
waveform_acc_scaled_0016,0.0014252858236432076
waveform_acc_scaled_0072,0.0013940483331680298
waveform_acc_scaled_0098,0.0013519852655008435
waveform_acc_scaled_0054,0.001330454950220883
waveform_acc_scaled_0015,0.0012844332959502935
waveform_acc_scaled_0024,0.0012524067424237728
waveform_acc_scaled_0085,0.0012498653959482908
waveform_acc_scaled_0028,0.0012120992178097367
waveform_acc_scaled_0039,0.001203869003802538
wave_to_structure_period_ratio,0.0011529653565958142
waveform_acc_scaled_0025,0.0011520128464326262
damper_sparse_ratio,0.0011414993787184358
waveform_acc_scaled_0101,0.001133598037995398
waveform_acc_scaled_0091,0.0011039890814572573
waveform_acc_scaled_0013,0.0010905062081292272
waveform_acc_scaled_0049,0.0010577632347121835
num_floors,0.0010184861021116376
waveform_acc_scaled_0115,0.00101701938547194
waveform_acc_scaled_0003,0.0009896301198750734
waveform_acc_scaled_0020,0.0009844405576586723
waveform_acc_scaled_0008,0.000962205114774406
waveform_acc_scaled_0044,0.0009582033380866051
wave_dominant_freq_x_period,0.0009578518220223486
waveform_acc_scaled_0097,0.0009526506764814258
damper_install_count,0.0009510731906630099
waveform_acc_scaled_0023,0.0009501025779172778
waveform_acc_scaled_0112,0.0009430712088942528
waveform_acc_scaled_0033,0.0009414384257979691
waveform_acc_scaled_0122,0.000940212223213166
wave_cav_x_period,0.0009222974767908454
wave_duration_5_95,0.0009210332646034658
waveform_acc_scaled_0064,0.000913318304810673
wave_intensity_score_x_period,0.0008935281657613814
waveform_acc_scaled_0120,0.0008902412955649197
waveform_acc_scaled_0090,0.0008584819734096527
waveform_acc_scaled_0107,0.0008584223105572164
waveform_acc_scaled_0102,0.0008582493173889816
waveform_acc_scaled_0062,0.00085743039380759
waveform_acc_scaled_0094,0.0008552776998840272
waveform_acc_scaled_0030,0.0008165191393345594
waveform_acc_scaled_0065,0.0007970150909386575
waveform_acc_scaled_0018,0.0007931936415843666
waveform_acc_scaled_0048,0.000790781166870147
strength_inverse_x_period,0.0007768922951072454
waveform_acc_scaled_0123,0.0007739721913821995
waveform_acc_scaled_0007,0.0007716764230281115
waveform_acc_scaled_0073,0.000769625068642199
waveform_acc_scaled_0005,0.0007382513140328228
waveform_acc_scaled_0075,0.000733768567442894
period_squared,0.000729756080545485
waveform_acc_scaled_0086,0.0007000750047154725
log1p_wave_duration_5_95,0.0006868309574201703
waveform_acc_scaled_0080,0.0006819684058427811
waveform_acc_scaled_0113,0.0006789612234570086
waveform_acc_scaled_0124,0.0006613149889744818
waveform_acc_scaled_0006,0.0006603698129765689
waveform_acc_scaled_0059,0.0006488044164143503
waveform_acc_scaled_0082,0.0006169664557091892
waveform_acc_scaled_0052,0.0006128802779130638
waveform_acc_scaled_0099,0.0005893259076401591
waveform_acc_scaled_0079,0.0005879057571291924
waveform_acc_scaled_0089,0.0005878616357222199
waveform_acc_scaled_0071,0.000586454407311976
waveform_acc_scaled_0045,0.0005690061370842159
waveform_acc_scaled_0029,0.00054837268544361
waveform_acc_scaled_0081,0.0005411572637967765
waveform_acc_scaled_0022,0.0005394661566242576
waveform_acc_scaled_0041,0.0005352215957827866
waveform_acc_scaled_0047,0.0005248697707429528
waveform_acc_scaled_0117,0.0005230703973211348
waveform_acc_scaled_0069,0.00051688909297809
waveform_acc_scaled_0070,0.0005084643489681184
waveform_acc_scaled_0096,0.0005060079856775701
waveform_acc_scaled_0088,0.00050092808669433
waveform_acc_scaled_0056,0.0005004379199817777
wave_mean_abs,0.000494300271384418
waveform_acc_scaled_0004,0.000480601389426738
waveform_acc_scaled_0012,0.0004766724887304008
waveform_acc_scaled_0046,0.000466510042315349
waveform_acc_scaled_0057,0.00046579696936532855
waveform_acc_scaled_0017,0.0004654772928915918
waveform_acc_scaled_0066,0.00046351179480552673
waveform_acc_scaled_0055,0.0004485841782297939
log1p_period_1_sec,0.0004352156538516283
waveform_acc_scaled_0119,0.0004226394521538168
damper_story_4,0.00042036589002236724
waveform_acc_scaled_0109,0.0004185606667306274
wave_cav,0.00041037198388949037
waveform_acc_scaled_0105,0.0004095005278941244
waveform_acc_scaled_0104,0.00039936223765835166
waveform_acc_scaled_0077,0.0003795189841184765
waveform_acc_scaled_0031,0.0003728613955900073
waveform_acc_scaled_0076,0.00037010625237599015
waveform_acc_scaled_0083,0.0003691934107337147
waveform_acc_scaled_0095,0.0003595630405470729
waveform_acc_scaled_0042,0.00034574937308207154
num_floors_x_period,0.00032893483876250684
waveform_acc_scaled_0021,0.0003188526025041938
damper_story_6,0.00031713498174212873
period_1_sec,0.00030320428777486086
damper_story_5,0.0003006785991601646
damper_story_7,0.00029970501782372594
floor_mass,0.0002810813020914793
waveform_acc_scaled_0100,0.0002744545927271247
floor_mass_x_period,0.0002691207337193191
log1p_wave_mean_abs,0.00026457550120539963
height_to_stiffness,0.00022001851175446063
waveform_acc_scaled_0240,0.0
waveform_acc_scaled_0236,0.0
waveform_acc_scaled_0237,0.0
