number,value,state,params_BATCH_SIZE,params_CNN_CHANNELS_KEY,params_CNN_DROPOUT,params_CNN_PROJECTOR_DIM,params_CNN_PROJECTOR_DROPOUT,params_FUSION_BILINEAR_DIM,params_FUSION_DROPOUT,params_FUSION_OUTPUT_DIM,params_GRAD_CLIP_NORM,params_HEAD_DROPOUT,params_IMAGE_SIZE_KEY,params_LEARNING_RATE,params_SCALAR_EMBED_DIM,params_SCALAR_RES_BLOCKS,params_SCALAR_RES_DROPOUT,params_TIME_FREQ_MASK_PROB,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.0006044211915927009,COMPLETE,48,24-56-112-176,0.10247389788224004,256,0.21989562927691042,48,0.15093889139607505,256,1.0,0.16167143982398022,160,3.107507395124893e-05,192,2,0.19555563694314484,0.4382592519882411,1.6884477499859842e-05,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0000,"{'IMAGE_SIZE': [160, 160], 'BATCH_SIZE': 32, 'LEARNING_RATE': 3.107507395124893e-05, 'WEIGHT_DECAY': 1.6884477499859842e-05, 'GRAD_CLIP_NORM': 1.0, 'CNN_CHANNELS': [24, 56, 112, 176], 'CNN_DROPOUT': 0.10247389788224004, 'CNN_PROJECTOR_DIM': 256, 'CNN_PROJECTOR_DROPOUT': 0.21989562927691042, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.19555563694314484, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.15093889139607505, 'HEAD_DROPOUT': 0.16167143982398022, 'TIME_FREQ_MASK_PROB': 0.4382592519882411}","{'best_value': 0.0006044211915927009, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005007426952943206, 'best_val_selection_score': 0.0006044211915927009}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0000\model-20260531-181258-99dfe0c9-train20260612-220615
1,0.0007267491285456344,COMPLETE,64,24-56-112-176,0.0757124796602011,192,0.1950419199530144,112,0.21101041844065355,384,0.5,0.33430837343557707,160,0.0004137763716148568,256,3,0.11576193746908447,0.12425267222345014,0.00021045092331225295,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0001,"{'IMAGE_SIZE': [160, 160], 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.0004137763716148568, 'WEIGHT_DECAY': 0.00021045092331225295, 'GRAD_CLIP_NORM': 0.5, 'CNN_CHANNELS': [24, 56, 112, 176], 'CNN_DROPOUT': 0.0757124796602011, 'CNN_PROJECTOR_DIM': 192, 'CNN_PROJECTOR_DROPOUT': 0.1950419199530144, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.11576193746908447, 'FUSION_BILINEAR_DIM': 112, 'FUSION_OUTPUT_DIM': 384, 'FUSION_DROPOUT': 0.21101041844065355, 'HEAD_DROPOUT': 0.33430837343557707, 'TIME_FREQ_MASK_PROB': 0.12425267222345014}","{'best_value': 0.0007267491285456344, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0006062840111553669, 'best_val_selection_score': 0.0007267491285456344}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0001\model-20260531-181258-99dfe0c9-train20260612-232529
2,0.0005861382081615739,COMPLETE,64,40-80-160-256,0.16305683463325332,384,0.1813424484001427,64,0.09605029463485952,256,0.5,0.17642293255094516,192,0.00010292554784232322,192,5,0.23841749953941138,0.3541370626424404,2.0990882814751085e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0002,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.00010292554784232322, 'WEIGHT_DECAY': 2.0990882814751085e-06, 'GRAD_CLIP_NORM': 0.5, 'CNN_CHANNELS': [40, 80, 160, 256], 'CNN_DROPOUT': 0.16305683463325332, 'CNN_PROJECTOR_DIM': 384, 'CNN_PROJECTOR_DROPOUT': 0.1813424484001427, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.23841749953941138, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.09605029463485952, 'HEAD_DROPOUT': 0.17642293255094516, 'TIME_FREQ_MASK_PROB': 0.3541370626424404}","{'best_value': 0.0005861382081615739, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0004825879295822233, 'best_val_selection_score': 0.0005861382081615739}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0002\model-20260531-181258-99dfe0c9-train20260613-004345
3,0.0006143308854103088,COMPLETE,96,40-80-160-256,0.17866387512876644,288,0.08444385579929722,112,0.11147900110308417,512,0.8,0.2634452503298975,192,0.00011935836556619795,128,4,0.11106394326487329,0.3544960156811374,4.135254856779151e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0003,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.00011935836556619795, 'WEIGHT_DECAY': 4.135254856779151e-06, 'GRAD_CLIP_NORM': 0.8, 'CNN_CHANNELS': [40, 80, 160, 256], 'CNN_DROPOUT': 0.17866387512876644, 'CNN_PROJECTOR_DIM': 288, 'CNN_PROJECTOR_DROPOUT': 0.08444385579929722, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.11106394326487329, 'FUSION_BILINEAR_DIM': 112, 'FUSION_OUTPUT_DIM': 512, 'FUSION_DROPOUT': 0.11147900110308417, 'HEAD_DROPOUT': 0.2634452503298975, 'TIME_FREQ_MASK_PROB': 0.3544960156811374}","{'best_value': 0.0006143308854103088, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005098455585539341, 'best_val_selection_score': 0.0006143308854103088}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0003\model-20260531-181258-99dfe0c9-train20260613-030439
4,0.0005993716689385474,COMPLETE,48,40-80-160-256,0.12803175814903525,256,0.19820024086630117,80,0.083288997328408,256,1.0,0.3162257888391598,128,8.337811007146214e-05,256,4,0.1199874729748373,0.2473398310024642,6.427448117272068e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0004,"{'IMAGE_SIZE': [128, 128], 'BATCH_SIZE': 32, 'LEARNING_RATE': 8.337811007146214e-05, 'WEIGHT_DECAY': 6.427448117272068e-06, 'GRAD_CLIP_NORM': 1.0, 'CNN_CHANNELS': [40, 80, 160, 256], 'CNN_DROPOUT': 0.12803175814903525, 'CNN_PROJECTOR_DIM': 256, 'CNN_PROJECTOR_DROPOUT': 0.19820024086630117, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.1199874729748373, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.083288997328408, 'HEAD_DROPOUT': 0.3162257888391598, 'TIME_FREQ_MASK_PROB': 0.2473398310024642}","{'best_value': 0.0005993716689385474, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0004962280509062111, 'best_val_selection_score': 0.0005993716689385474}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0004\model-20260531-181258-99dfe0c9-train20260613-052447
5,0.0006081750137149356,COMPLETE,48,32-72-144-224,0.16867202521292976,192,0.19187614890607785,48,0.09003550665310678,256,1.5,0.3248560094964925,160,7.599694449247388e-05,192,3,0.13065185562572018,0.31187095015539,0.0004633121220485119,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0005,"{'IMAGE_SIZE': [160, 160], 'BATCH_SIZE': 32, 'LEARNING_RATE': 7.599694449247388e-05, 'WEIGHT_DECAY': 0.0004633121220485119, 'GRAD_CLIP_NORM': 1.5, 'CNN_CHANNELS': [32, 72, 144, 224], 'CNN_DROPOUT': 0.16867202521292976, 'CNN_PROJECTOR_DIM': 192, 'CNN_PROJECTOR_DROPOUT': 0.19187614890607785, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.13065185562572018, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.09003550665310678, 'HEAD_DROPOUT': 0.3248560094964925, 'TIME_FREQ_MASK_PROB': 0.31187095015539}","{'best_value': 0.0006081750137149356, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005042956327088177, 'best_val_selection_score': 0.0006081750137149356}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0005\model-20260531-181258-99dfe0c9-train20260613-064419
6,0.0006018956278590486,COMPLETE,48,24-56-112-176,0.052670212739291976,288,0.11342096422351529,48,0.1198244343575809,512,0.5,0.18227943725091816,192,8.889811488840867e-05,128,3,0.21806314779610436,0.2482974111224592,4.962492850087501e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0006,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 8.889811488840867e-05, 'WEIGHT_DECAY': 4.962492850087501e-06, 'GRAD_CLIP_NORM': 0.5, 'CNN_CHANNELS': [24, 56, 112, 176], 'CNN_DROPOUT': 0.052670212739291976, 'CNN_PROJECTOR_DIM': 288, 'CNN_PROJECTOR_DROPOUT': 0.11342096422351529, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.21806314779610436, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'FUSION_DROPOUT': 0.1198244343575809, 'HEAD_DROPOUT': 0.18227943725091816, 'TIME_FREQ_MASK_PROB': 0.2482974111224592}","{'best_value': 0.0006018956278590486, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0004981689853593707, 'best_val_selection_score': 0.0006018956278590486}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0006\model-20260531-181258-99dfe0c9-train20260613-081447
7,0.0006085308387223631,COMPLETE,64,40-80-160-256,0.13986975551512987,288,0.21926392716977294,80,0.27924475141287436,512,1.5,0.10705281830545887,192,4.257654159227496e-05,192,3,0.296782606149452,0.2072450182903427,3.4408346000945457e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0007,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 4.257654159227496e-05, 'WEIGHT_DECAY': 3.4408346000945457e-06, 'GRAD_CLIP_NORM': 1.5, 'CNN_CHANNELS': [40, 80, 160, 256], 'CNN_DROPOUT': 0.13986975551512987, 'CNN_PROJECTOR_DIM': 288, 'CNN_PROJECTOR_DROPOUT': 0.21926392716977294, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.296782606149452, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'FUSION_DROPOUT': 0.27924475141287436, 'HEAD_DROPOUT': 0.10705281830545887, 'TIME_FREQ_MASK_PROB': 0.2072450182903427}","{'best_value': 0.0006085308387223631, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005045450525358319, 'best_val_selection_score': 0.0006085308387223631}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0007\model-20260531-181258-99dfe0c9-train20260613-094745
8,0.000609016562893521,COMPLETE,64,40-80-160-256,0.1465046207083095,288,0.16142916776062943,64,0.19003922998029263,256,0.5,0.28356793443937056,192,0.0001449469085566877,192,3,0.2072195269447357,0.42889869379319345,4.10504926395131e-06,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0008,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.0001449469085566877, 'WEIGHT_DECAY': 4.10504926395131e-06, 'GRAD_CLIP_NORM': 0.5, 'CNN_CHANNELS': [40, 80, 160, 256], 'CNN_DROPOUT': 0.1465046207083095, 'CNN_PROJECTOR_DIM': 288, 'CNN_PROJECTOR_DROPOUT': 0.16142916776062943, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.2072195269447357, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.19003922998029263, 'HEAD_DROPOUT': 0.28356793443937056, 'TIME_FREQ_MASK_PROB': 0.42889869379319345}","{'best_value': 0.000609016562893521, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005045715952292085, 'best_val_selection_score': 0.000609016562893521}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0008\model-20260531-181258-99dfe0c9-train20260613-120747
9,0.0005982846382609568,COMPLETE,64,32-72-144-224,0.18212381173330355,384,0.24271501966693187,64,0.16479962539416762,256,0.5,0.11706662275952558,192,0.00012675665830413332,192,5,0.18672367960644753,0.30256949229621105,1.756643313385584e-05,C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0009,"{'IMAGE_SIZE': [192, 192], 'BATCH_SIZE': 32, 'LEARNING_RATE': 0.00012675665830413332, 'WEIGHT_DECAY': 1.756643313385584e-05, 'GRAD_CLIP_NORM': 0.5, 'CNN_CHANNELS': [32, 72, 144, 224], 'CNN_DROPOUT': 0.18212381173330355, 'CNN_PROJECTOR_DIM': 384, 'CNN_PROJECTOR_DROPOUT': 0.24271501966693187, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.18672367960644753, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 256, 'FUSION_DROPOUT': 0.16479962539416762, 'HEAD_DROPOUT': 0.11706662275952558, 'TIME_FREQ_MASK_PROB': 0.30256949229621105}","{'best_value': 0.0005982846382609568, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0004925559624098241, 'best_val_selection_score': 0.0005982846382609568}",C:\Users\jiaotong1\5080train\update\run_logs\2dcnn-5080-v11-optuna-20260612-220606\artifacts\2dcnn\trial_0009\model-20260531-181258-99dfe0c9-train20260613-142729
