number,value,state,params_DEPTH,params_ITERATIONS,params_L2_LEAF_REG,params_LEARNING_RATE,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.0035144534882972844,COMPLETE,7,3750,27.56665904786012,0.07126133537558624,0.6908428257784337,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0000,"{'ITERATIONS': 3750, 'LEARNING_RATE': 0.07126133537558624, 'DEPTH': 7, 'L2_LEAF_REG': 27.56665904786012, 'SUBSAMPLE': 0.6908428257784337, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7565474155057279, 'MAE': 0.0007044219162404867, 'RMSE': 0.001327343870316882, 'MAPE': 28.18849513761961, 'Bias': -0.00042303418078400997, 'SelectionScore': 0.0035144534882972844}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0000\model-20260531-181258-99dfe0c9-train20260611-021100
1,0.0034707043230532983,COMPLETE,9,1000,20.01123639316325,0.0638425893490876,0.7115492850154328,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0001,"{'ITERATIONS': 1000, 'LEARNING_RATE': 0.0638425893490876, 'DEPTH': 9, 'L2_LEAF_REG': 20.01123639316325, 'SUBSAMPLE': 0.7115492850154328, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7676072843247637, 'MAE': 0.000674860699087353, 'RMSE': 0.0012968433202056428, 'MAPE': 27.000025035369653, 'Bias': -0.0004016600562242503, 'SelectionScore': 0.0034707043230532983}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0001\model-20260531-181258-99dfe0c9-train20260611-021132
2,0.003667650382786043,COMPLETE,10,1750,1.409349737880221,0.007061022991254895,0.7793910167928412,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0002,"{'ITERATIONS': 1750, 'LEARNING_RATE': 0.007061022991254895, 'DEPTH': 10, 'L2_LEAF_REG': 1.409349737880221, 'SUBSAMPLE': 0.7793910167928412, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7414334730674534, 'MAE': 0.0007165774004051216, 'RMSE': 0.0013679253722485665, 'MAPE': 28.991542277501612, 'Bias': -0.0004041238700597604, 'SelectionScore': 0.003667650382786043}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0002\model-20260531-181258-99dfe0c9-train20260611-021216
3,0.003120807532120507,COMPLETE,8,2250,1.004059975597095,0.07825231898733907,0.7705901022324212,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0003,"{'ITERATIONS': 2250, 'LEARNING_RATE': 0.07825231898733907, 'DEPTH': 8, 'L2_LEAF_REG': 1.004059975597095, 'SUBSAMPLE': 0.7705901022324212, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8038421046331625, 'MAE': 0.0006353547065033214, 'RMSE': 0.0011914591325640237, 'MAPE': 25.485957060544816, 'Bias': -0.00037965234894741433, 'SelectionScore': 0.003120807532120507}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0003\model-20260531-181258-99dfe0c9-train20260611-021535
4,0.0037441880719917353,COMPLETE,4,750,29.437366963651552,0.02717496391207872,0.9300085933996209,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0004,"{'ITERATIONS': 750, 'LEARNING_RATE': 0.02717496391207872, 'DEPTH': 4, 'L2_LEAF_REG': 29.437366963651552, 'SUBSAMPLE': 0.9300085933996209, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7316253872488465, 'MAE': 0.0007225197485448736, 'RMSE': 0.001393628339939078, 'MAPE': 30.877709317691927, 'Bias': -0.0004100801477225184, 'SelectionScore': 0.0037441880719917353}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0004\model-20260531-181258-99dfe0c9-train20260611-021631
5,0.003447127457082009,COMPLETE,5,2000,2.48181284517144,0.06786270168191356,0.8824463054179081,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0005,"{'ITERATIONS': 2000, 'LEARNING_RATE': 0.06786270168191356, 'DEPTH': 5, 'L2_LEAF_REG': 2.48181284517144, 'SUBSAMPLE': 0.8824463054179081, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7657247191992141, 'MAE': 0.0006895577080104042, 'RMSE': 0.0013020854544610095, 'MAPE': 26.94296415282946, 'Bias': -0.0004403642636308983, 'SelectionScore': 0.003447127457082009}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0005\model-20260531-181258-99dfe0c9-train20260611-021637
6,0.003489650650181932,COMPLETE,7,3750,13.12524225737541,0.021095403085532125,0.8156662389109919,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0006,"{'ITERATIONS': 3750, 'LEARNING_RATE': 0.021095403085532125, 'DEPTH': 7, 'L2_LEAF_REG': 13.12524225737541, 'SUBSAMPLE': 0.8156662389109919, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.761002784159868, 'MAE': 0.0006815819000212021, 'RMSE': 0.001315142082585873, 'MAPE': 26.141934475289425, 'Bias': -0.00043325323029963774, 'SelectionScore': 0.003489650650181932}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0006\model-20260531-181258-99dfe0c9-train20260611-021650
7,0.0037936636742777526,COMPLETE,4,750,16.51100617247426,0.03737868869153593,0.6367878304708811,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0007,"{'ITERATIONS': 750, 'LEARNING_RATE': 0.03737868869153593, 'DEPTH': 4, 'L2_LEAF_REG': 16.51100617247426, 'SUBSAMPLE': 0.6367878304708811, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7211710564153893, 'MAE': 0.0007481107319038753, 'RMSE': 0.0014205128952539227, 'MAPE': 30.483023846731, 'Bias': -0.0004617399586796818, 'SelectionScore': 0.0037936636742777526}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0007\model-20260531-181258-99dfe0c9-train20260611-021722
8,0.0033068825747224026,COMPLETE,9,4750,1.1855113827434718,0.050094735319912806,0.8027903959412767,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0008,"{'ITERATIONS': 4750, 'LEARNING_RATE': 0.050094735319912806, 'DEPTH': 9, 'L2_LEAF_REG': 1.1855113827434718, 'SUBSAMPLE': 0.8027903959412767, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7833301557949552, 'MAE': 0.0006509764276535478, 'RMSE': 0.0012522051610356424, 'MAPE': 25.121395662893963, 'Bias': -0.00039376098140793566, 'SelectionScore': 0.0033068825747224026}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0008\model-20260531-181258-99dfe0c9-train20260611-021727
9,0.0037594099599715103,COMPLETE,10,1000,2.390296896833934,0.06553237182431915,0.8184514988695062,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0009,"{'ITERATIONS': 1000, 'LEARNING_RATE': 0.06553237182431915, 'DEPTH': 10, 'L2_LEAF_REG': 2.390296896833934, 'SUBSAMPLE': 0.8184514988695062, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7239054029370287, 'MAE': 0.000755947853691683, 'RMSE': 0.001413530578426008, 'MAPE': 30.181240695368114, 'Bias': -0.00042917334765512586, 'SelectionScore': 0.0037594099599715103}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\catboost\trial_0009\model-20260531-181258-99dfe0c9-train20260611-022051
