number,value,state,params_COLSAMPLE_BYTREE,params_LEARNING_RATE,params_MAX_DEPTH,params_MIN_CHILD_SAMPLES,params_NUM_LEAVES,params_N_ESTIMATORS,params_REG_ALPHA,params_REG_LAMBDA,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.00290551160524648,COMPLETE,0.9523810704554048,0.07126133537558624,-1,185,66,3000,8.341680811405702e-05,0.017723487660531036,0.9124009607889293,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0000,"{'N_ESTIMATORS': 3000, 'LEARNING_RATE': 0.07126133537558624, 'NUM_LEAVES': 66, 'MAX_DEPTH': -1, 'MIN_CHILD_SAMPLES': 185, 'SUBSAMPLE': 0.9124009607889293, 'COLSAMPLE_BYTREE': 0.9523810704554048, 'REG_LAMBDA': 0.017723487660531036, 'REG_ALPHA': 8.341680811405702e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8320227360785564, 'MAE': 0.000603397628307839, 'RMSE': 0.0011025581539328697, 'MAPE': 25.32816467935766, 'Bias': -0.0003055962483445027, 'SelectionScore': 0.00290551160524648}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0000\model-20260531-181258-99dfe0c9-train20260611-015934
1,0.003409494791167489,COMPLETE,0.7705901022324212,0.07798115491200724,16,124,19,1000,0.04690814833473403,0.009569638495683173,0.6004765093796335,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0001,"{'N_ESTIMATORS': 1000, 'LEARNING_RATE': 0.07798115491200724, 'NUM_LEAVES': 19, 'MAX_DEPTH': 16, 'MIN_CHILD_SAMPLES': 124, 'SUBSAMPLE': 0.6004765093796335, 'COLSAMPLE_BYTREE': 0.7705901022324212, 'REG_LAMBDA': 0.009569638495683173, 'REG_ALPHA': 0.04690814833473403, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7725219893847223, 'MAE': 0.0006885705555287703, 'RMSE': 0.0012830570421205998, 'MAPE': 29.015478981650922, 'Bias': -0.00037167405857695747, 'SelectionScore': 0.003409494791167489}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0001\model-20260531-181258-99dfe0c9-train20260611-015947
2,0.0032686962438488423,COMPLETE,0.7587012222362282,0.07877480497931338,12,61,155,500,0.03418669734067779,3.93425768171703,0.8824463054179081,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0002,"{'N_ESTIMATORS': 500, 'LEARNING_RATE': 0.07877480497931338, 'NUM_LEAVES': 155, 'MAX_DEPTH': 12, 'MIN_CHILD_SAMPLES': 61, 'SUBSAMPLE': 0.8824463054179081, 'COLSAMPLE_BYTREE': 0.7587012222362282, 'REG_LAMBDA': 3.93425768171703, 'REG_ALPHA': 0.03418669734067779, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7855235959440819, 'MAE': 0.0006842405612256667, 'RMSE': 0.0012458507377047733, 'MAPE': 26.470830704759692, 'Bias': -0.0004180224265836421, 'SelectionScore': 0.0032686962438488423}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0002\model-20260531-181258-99dfe0c9-train20260611-015950
3,0.003406996026525792,COMPLETE,0.9728859144551218,0.02229410663018044,16,27,66,4000,0.0002789852447623015,0.004879941545998067,0.9488319620201942,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0003,"{'N_ESTIMATORS': 4000, 'LEARNING_RATE': 0.02229410663018044, 'NUM_LEAVES': 66, 'MAX_DEPTH': 16, 'MIN_CHILD_SAMPLES': 27, 'SUBSAMPLE': 0.9488319620201942, 'COLSAMPLE_BYTREE': 0.9728859144551218, 'REG_LAMBDA': 0.004879941545998067, 'REG_ALPHA': 0.0002789852447623015, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7761029495796771, 'MAE': 0.0006710086587192074, 'RMSE': 0.0012729180359728677, 'MAPE': 27.44699876402446, 'Bias': -0.00034085024267356296, 'SelectionScore': 0.003406996026525792}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0003\model-20260531-181258-99dfe0c9-train20260611-015955
4,0.0033773789085028818,COMPLETE,0.7929923274071122,0.009208590127369992,-1,103,36,3250,1.022815612986707,3.2873893739125037,0.6677296424975394,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0004,"{'N_ESTIMATORS': 3250, 'LEARNING_RATE': 0.009208590127369992, 'NUM_LEAVES': 36, 'MAX_DEPTH': -1, 'MIN_CHILD_SAMPLES': 103, 'SUBSAMPLE': 0.6677296424975394, 'COLSAMPLE_BYTREE': 0.7929923274071122, 'REG_LAMBDA': 3.2873893739125037, 'REG_ALPHA': 1.022815612986707, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7767254854363603, 'MAE': 0.0006791634633764101, 'RMSE': 0.0012711471579739347, 'MAPE': 27.46392243025728, 'Bias': -0.0004058650938141159, 'SelectionScore': 0.0033773789085028818}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0004\model-20260531-181258-99dfe0c9-train20260611-020025
5,0.003714412540015876,COMPLETE,0.9420251614054769,0.007021506951292295,4,97,81,2750,0.10864662513278736,22.075242368970418,0.9042654043309163,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0005,"{'N_ESTIMATORS': 2750, 'LEARNING_RATE': 0.007021506951292295, 'NUM_LEAVES': 81, 'MAX_DEPTH': 4, 'MIN_CHILD_SAMPLES': 97, 'SUBSAMPLE': 0.9042654043309163, 'COLSAMPLE_BYTREE': 0.9420251614054769, 'REG_LAMBDA': 22.075242368970418, 'REG_ALPHA': 0.10864662513278736, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7334862028742133, 'MAE': 0.0007381148568852624, 'RMSE': 0.001388788470307547, 'MAPE': 30.898555342431703, 'Bias': -0.0004423180796379337, 'SelectionScore': 0.003714412540015876}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0005\model-20260531-181258-99dfe0c9-train20260611-020035
6,0.0037805224378874673,COMPLETE,0.9571040619501695,0.008054053291509102,16,120,22,1000,1.0988151105698854e-06,0.13494352174959107,0.6810784968769766,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0006,"{'N_ESTIMATORS': 1000, 'LEARNING_RATE': 0.008054053291509102, 'NUM_LEAVES': 22, 'MAX_DEPTH': 16, 'MIN_CHILD_SAMPLES': 120, 'SUBSAMPLE': 0.6810784968769766, 'COLSAMPLE_BYTREE': 0.9571040619501695, 'REG_LAMBDA': 0.13494352174959107, 'REG_ALPHA': 1.0988151105698854e-06, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7285845461035123, 'MAE': 0.0007197600058071751, 'RMSE': 0.001401501412748216, 'MAPE': 29.28751631478499, 'Bias': -0.0003984592568960349, 'SelectionScore': 0.0037805224378874673}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0006\model-20260531-181258-99dfe0c9-train20260611-020042
7,0.003067043780174308,COMPLETE,0.8310534702934422,0.0570760949519619,16,173,108,4500,4.066996915094536e-05,0.003562554681496916,0.6564341223556377,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0007,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.0570760949519619, 'NUM_LEAVES': 108, 'MAX_DEPTH': 16, 'MIN_CHILD_SAMPLES': 173, 'SUBSAMPLE': 0.6564341223556377, 'COLSAMPLE_BYTREE': 0.8310534702934422, 'REG_LAMBDA': 0.003562554681496916, 'REG_ALPHA': 4.066996915094536e-05, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.811385981966254, 'MAE': 0.0006368621712431842, 'RMSE': 0.0011683238364055743, 'MAPE': 24.934273324847034, 'Bias': -0.0003838917120080493, 'SelectionScore': 0.003067043780174308}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0007\model-20260531-181258-99dfe0c9-train20260611-020052
8,0.003287723762694446,COMPLETE,0.8879539788190486,0.04388964342827824,-1,189,141,2500,0.05735642799418346,0.0769111699970304,0.9865790287667695,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0008,"{'N_ESTIMATORS': 2500, 'LEARNING_RATE': 0.04388964342827824, 'NUM_LEAVES': 141, 'MAX_DEPTH': -1, 'MIN_CHILD_SAMPLES': 189, 'SUBSAMPLE': 0.9865790287667695, 'COLSAMPLE_BYTREE': 0.8879539788190486, 'REG_LAMBDA': 0.0769111699970304, 'REG_ALPHA': 0.05735642799418346, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7825965252926061, 'MAE': 0.0006864561040235022, 'RMSE': 0.0012543233136346047, 'MAPE': 26.64791744440035, 'Bias': -0.0004298362414130429, 'SelectionScore': 0.003287723762694446}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0008\model-20260531-181258-99dfe0c9-train20260611-020118
9,0.0030008507735161073,COMPLETE,0.9408771750728195,0.04706310412537891,10,125,22,3000,8.234758359956886e-05,0.03578273899176176,0.8895921719806423,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0009,"{'N_ESTIMATORS': 3000, 'LEARNING_RATE': 0.04706310412537891, 'NUM_LEAVES': 22, 'MAX_DEPTH': 10, 'MIN_CHILD_SAMPLES': 125, 'SUBSAMPLE': 0.8895921719806423, 'COLSAMPLE_BYTREE': 0.9408771750728195, 'REG_LAMBDA': 0.03578273899176176, 'REG_ALPHA': 8.234758359956886e-05, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8204823454865832, 'MAE': 0.0006245839219899354, 'RMSE': 0.0011398031072153195, 'MAPE': 27.26282728023231, 'Bias': -0.0003325089378031095, 'SelectionScore': 0.0030008507735161073}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\lightgbm\trial_0009\model-20260531-181258-99dfe0c9-train20260611-020132
