number,value,state,params_BATCH_SIZE,params_FUSION_BILINEAR_DIM,params_FUSION_OUTPUT_DIM,params_GRAD_CLIP_NORM,params_HEAD_DROPOUT,params_LEARNING_RATE,params_LSTM_ATTENTION_DIM,params_LSTM_DROPOUT,params_LSTM_HIDDEN_DIM,params_LSTM_NUM_LAYERS,params_SCALAR_EMBED_DIM,params_SCALAR_RES_BLOCKS,params_SCALAR_RES_DROPOUT,params_SEQUENCE_PROJECTOR_DIM,params_SEQ_LEN,params_SEQ_STEM_CHANNELS_KEY,params_SEQ_STEM_DROPOUT,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.0006760730131407258,COMPLETE,32,112,256,0.5,0.12093863976745073,0.00039769297255521914,128,0.18454326259463089,256,1,256,5,0.11330147802624851,192,2048,64-128,0.1685333104604018,0.00012820414191376737,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0000,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00039769297255521914, 'WEIGHT_DECAY': 0.00012820414191376737, 'GRAD_CLIP_NORM': 0.5, 'SEQ_STEM_CHANNELS': [64, 128], 'SEQ_STEM_DROPOUT': 0.1685333104604018, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.18454326259463089, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 192, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.11330147802624851, 'FUSION_BILINEAR_DIM': 112, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.12093863976745073}","{'best_value': 0.0006760730131407258, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000560211473051748, 'best_val_selection_score': 0.0006760730131407258}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0000\model-20260531-181258-99dfe0c9-train20260611-115500
1,0.0006330760180240006,COMPLETE,32,80,512,0.8,0.14233102656096214,0.00016489487706957518,128,0.29732706320496705,256,1,192,3,0.27532977076749704,256,2048,48-96,0.04364150023247327,2.5199506449103978e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0001,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00016489487706957518, 'WEIGHT_DECAY': 2.5199506449103978e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.04364150023247327, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 1, 'LSTM_DROPOUT': 0.29732706320496705, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.27532977076749704, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.14233102656096214}","{'best_value': 0.0006330760180240006, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000526029282308415, 'best_val_selection_score': 0.0006330760180240006}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0001\model-20260531-181258-99dfe0c9-train20260611-122214
2,0.0006674886153965278,COMPLETE,96,80,512,1.5,0.199270560212797,4.873821380832524e-05,64,0.21318698764150967,256,3,128,3,0.23699162604722218,256,2048,64-128,0.07700590568051,0.00020711250424721556,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0002,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 4.873821380832524e-05, 'WEIGHT_DECAY': 0.00020711250424721556, 'GRAD_CLIP_NORM': 1.5, 'SEQ_STEM_CHANNELS': [64, 128], 'SEQ_STEM_DROPOUT': 0.07700590568051, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.21318698764150967, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.23699162604722218, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.199270560212797}","{'best_value': 0.0006674886153965278, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005602985783290231, 'best_val_selection_score': 0.0006674886153965278}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0002\model-20260531-181258-99dfe0c9-train20260611-124614
3,0.0006736092949218653,COMPLETE,96,64,384,0.8,0.11421563899569045,0.00030835276608890257,192,0.2236360068887503,128,3,128,3,0.23223789755496843,192,1024,24-48,0.048756219320266934,0.00020626471168578407,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0003,"{'SEQ_LEN': 1024, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00030835276608890257, 'WEIGHT_DECAY': 0.00020626471168578407, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [24, 48], 'SEQ_STEM_DROPOUT': 0.048756219320266934, 'LSTM_HIDDEN_DIM': 128, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.2236360068887503, 'LSTM_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 192, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.23223789755496843, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.11421563899569045}","{'best_value': 0.0006736092949218653, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005598485699329901, 'best_val_selection_score': 0.0006736092949218653}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0003\model-20260531-181258-99dfe0c9-train20260611-135145
4,0.0006634457342510784,COMPLETE,32,64,256,1.5,0.2673925743273581,4.10158061215672e-05,192,0.16256875179142877,256,3,192,4,0.20241659856775795,256,1024,24-48,0.11437583193740399,0.0002001598364571034,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0004,"{'SEQ_LEN': 1024, 'BATCH_SIZE': 128, 'LEARNING_RATE': 4.10158061215672e-05, 'WEIGHT_DECAY': 0.0002001598364571034, 'GRAD_CLIP_NORM': 1.5, 'SEQ_STEM_CHANNELS': [24, 48], 'SEQ_STEM_DROPOUT': 0.11437583193740399, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.16256875179142877, 'LSTM_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.20241659856775795, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.2673925743273581}","{'best_value': 0.0006634457342510784, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005538054519380048, 'best_val_selection_score': 0.0006634457342510784}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0004\model-20260531-181258-99dfe0c9-train20260611-140019
5,0.0007007478728231508,COMPLETE,32,80,384,0.8,0.17175285045634958,0.0001587796099944442,192,0.16184322110468963,96,2,128,5,0.11142334447024602,384,1024,24-48,0.09411670657858194,0.0002246609832817265,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0005,"{'SEQ_LEN': 1024, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.0001587796099944442, 'WEIGHT_DECAY': 0.0002246609832817265, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [24, 48], 'SEQ_STEM_DROPOUT': 0.09411670657858194, 'LSTM_HIDDEN_DIM': 96, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.16184322110468963, 'LSTM_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.11142334447024602, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.17175285045634958}","{'best_value': 0.0007007478728231508, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005807809899760132, 'best_val_selection_score': 0.0007007478728231508}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0005\model-20260531-181258-99dfe0c9-train20260611-143630
6,0.0007126533619869456,COMPLETE,96,80,256,0.5,0.11533517992481379,7.36032976133254e-05,128,0.22900696013450406,256,3,192,5,0.1476572038488829,128,1024,64-128,0.1575690768259721,1.5891064389982076e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0006,"{'SEQ_LEN': 1024, 'BATCH_SIZE': 128, 'LEARNING_RATE': 7.36032976133254e-05, 'WEIGHT_DECAY': 1.5891064389982076e-05, 'GRAD_CLIP_NORM': 0.5, 'SEQ_STEM_CHANNELS': [64, 128], 'SEQ_STEM_DROPOUT': 0.1575690768259721, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.22900696013450406, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 128, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.1476572038488829, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.11533517992481379}","{'best_value': 0.0007126533619869456, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000591627806392757, 'best_val_selection_score': 0.0007126533619869456}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0006\model-20260531-181258-99dfe0c9-train20260611-144328
7,0.0006564805469717713,COMPLETE,32,80,256,1.0,0.10949106728331878,4.551642231272375e-05,192,0.09820519954991144,192,2,128,5,0.11395478021027236,384,4096,64-128,0.14461434609656149,4.969832944680185e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0007,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 128, 'LEARNING_RATE': 4.551642231272375e-05, 'WEIGHT_DECAY': 4.969832944680185e-05, 'GRAD_CLIP_NORM': 1.0, 'SEQ_STEM_CHANNELS': [64, 128], 'SEQ_STEM_DROPOUT': 0.14461434609656149, 'LSTM_HIDDEN_DIM': 192, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.09820519954991144, 'LSTM_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.11395478021027236, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.10949106728331878}","{'best_value': 0.0006564805469717713, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005483142720794609, 'best_val_selection_score': 0.0006564805469717713}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0007\model-20260531-181258-99dfe0c9-train20260611-151153
8,0.0006343885949677524,COMPLETE,32,48,512,0.8,0.11271193571912852,4.59587044907897e-05,64,0.2761312345485198,256,2,256,2,0.23789012172608073,256,2048,48-96,0.038270990523762365,5.993194341233289e-05,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0008,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 4.59587044907897e-05, 'WEIGHT_DECAY': 5.993194341233289e-05, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.038270990523762365, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 2, 'LSTM_DROPOUT': 0.2761312345485198, 'LSTM_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.23789012172608073, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.11271193571912852}","{'best_value': 0.0006343885949677524, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005295752529768009, 'best_val_selection_score': 0.0006343885949677524}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0008\model-20260531-181258-99dfe0c9-train20260611-160842
9,0.000665755012977471,COMPLETE,32,64,512,0.8,0.20281117731330206,0.00013121296994786762,128,0.31787246783318573,256,3,192,5,0.24367546739468976,256,2048,48-96,0.0982292969130938,8.962143884998688e-06,C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0009,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 128, 'LEARNING_RATE': 0.00013121296994786762, 'WEIGHT_DECAY': 8.962143884998688e-06, 'GRAD_CLIP_NORM': 0.8, 'SEQ_STEM_CHANNELS': [48, 96], 'SEQ_STEM_DROPOUT': 0.0982292969130938, 'LSTM_HIDDEN_DIM': 256, 'LSTM_NUM_LAYERS': 3, 'LSTM_DROPOUT': 0.31787246783318573, 'LSTM_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.24367546739468976, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.20281117731330206}","{'best_value': 0.000665755012977471, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005527015755699174, 'best_val_selection_score': 0.000665755012977471}",C:\Users\jiaotong1\5080train\update\run_logs\lstm-wavenet-5080-20260611-115457\artifacts\lstm\trial_0009\model-20260531-181258-99dfe0c9-train20260611-165051
