number,value,state,params_BATCH_SIZE,params_EARLY_STOPPING_PATIENCE,params_LEARNING_RATE,params_MLP_BLOCK_COUNT,params_MLP_DROPOUT,params_MLP_HIDDEN_DIM,params_MLP_HIDDEN_MULT,params_SMOOTH_L1_BETA,params_WAVEFORM_FEATURE_COUNT,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.004576126199488044,COMPLETE,1024,20,3.6523445142496034e-05,5,0.19481941801024077,192,4,2.0,384,0.000103065828456091,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0000,"{'BATCH_SIZE': 1024, 'LEARNING_RATE': 3.6523445142496034e-05, 'WEIGHT_DECAY': 0.000103065828456091, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 20, 'MLP_HIDDEN_DIM': 192, 'MLP_BLOCK_COUNT': 5, 'MLP_HIDDEN_MULT': 4, 'MLP_DROPOUT': 0.19481941801024077, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.5426681552193573, 'MAE': 0.0010775991219980753, 'RMSE': 0.0018192482902550525, 'MAPE': 46.00550542095469, 'Bias': -0.0006875424251662595, 'SelectionScore': 0.004576126199488044, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0000\model-20260531-181258-99dfe0c9-train20260611-024935
1,0.003289565539918347,COMPLETE,256,15,0.0005337249994285557,4,0.2507484867457162,256,3,2.0,384,0.0002739451110221816,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0001,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.0005337249994285557, 'WEIGHT_DECAY': 0.0002739451110221816, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 256, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 3, 'MLP_DROPOUT': 0.2507484867457162, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.767672482034956, 'MAE': 0.0007811423290221634, 'RMSE': 0.0012966613929327791, 'MAPE': 31.22885587652094, 'Bias': -0.0005584020695460444, 'SelectionScore': 0.003289565539918347, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0001\model-20260531-181258-99dfe0c9-train20260611-025014
2,0.004158229821074518,COMPLETE,256,15,1.3760008899802374e-05,3,0.2608260903882223,384,2,2.0,384,1.6355292386610658e-06,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0002,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 1.3760008899802374e-05, 'WEIGHT_DECAY': 1.6355292386610658e-06, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 384, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.2608260903882223, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.6320896754826143, 'MAE': 0.0009043601117767336, 'RMSE': 0.00163172602988664, 'MAPE': 35.27883777414087, 'Bias': -0.0006155468993620693, 'SelectionScore': 0.004158229821074518, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0002\model-20260531-181258-99dfe0c9-train20260611-025109
3,0.0029383471012720853,COMPLETE,1024,20,0.0022944566724476616,5,0.1900013835729869,512,2,2.0,128,2.0199254142261785e-05,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0003,"{'BATCH_SIZE': 1024, 'LEARNING_RATE': 0.0022944566724476616, 'WEIGHT_DECAY': 2.0199254142261785e-05, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 20, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 5, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.1900013835729869, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8186072193139607, 'MAE': 0.0006339862327157266, 'RMSE': 0.0011457404687904241, 'MAPE': 23.479432691039545, 'Bias': -0.00043890689038389056, 'SelectionScore': 0.0029383471012720853, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0003\model-20260531-181258-99dfe0c9-train20260611-025203
4,0.004557703295139951,COMPLETE,1024,30,0.0003779667654213013,4,0.09275589839587947,192,3,2.0,256,2.100788543507889e-05,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0004,"{'BATCH_SIZE': 1024, 'LEARNING_RATE': 0.0003779667654213013, 'WEIGHT_DECAY': 2.100788543507889e-05, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 30, 'MLP_HIDDEN_DIM': 192, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 3, 'MLP_DROPOUT': 0.09275589839587947, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.5528048110977803, 'MAE': 0.0010179676936350431, 'RMSE': 0.0017989737039320977, 'MAPE': 36.394327000537636, 'Bias': -0.0007506378721774919, 'SelectionScore': 0.004557703295139951, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0004\model-20260531-181258-99dfe0c9-train20260611-025227
5,0.003322184771317187,COMPLETE,256,25,0.00022819839640874588,3,0.31399850204595203,128,3,1.0,384,0.0005160042790619628,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0005,"{'BATCH_SIZE': 256, 'LEARNING_RATE': 0.00022819839640874588, 'WEIGHT_DECAY': 0.0005160042790619628, 'SMOOTH_L1_BETA': 1.0, 'EARLY_STOPPING_PATIENCE': 25, 'MLP_HIDDEN_DIM': 128, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 3, 'MLP_DROPOUT': 0.31399850204595203, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7641064905623105, 'MAE': 0.0007845398060270096, 'RMSE': 0.0013065747157442003, 'MAPE': 34.366270015316324, 'Bias': -0.000493086054878973, 'SelectionScore': 0.003322184771317187, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0005\model-20260531-181258-99dfe0c9-train20260611-025311
6,0.003582024017565494,COMPLETE,768,25,0.00020788324803496522,3,0.16256875179142877,256,3,0.3,384,0.00017383135804944374,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0006,"{'BATCH_SIZE': 768, 'LEARNING_RATE': 0.00020788324803496522, 'WEIGHT_DECAY': 0.00017383135804944374, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 25, 'MLP_HIDDEN_DIM': 256, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 3, 'MLP_DROPOUT': 0.16256875179142877, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7393390343703339, 'MAE': 0.0007670106456957618, 'RMSE': 0.0013734544277926753, 'MAPE': 34.65452840665921, 'Bias': -0.00045162591149675247, 'SelectionScore': 0.003582024017565494, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0006\model-20260531-181258-99dfe0c9-train20260611-025414
7,0.0037975799669864073,COMPLETE,768,15,1.3408933722521186e-05,3,0.19564565333539996,192,2,2.0,384,0.000716700296826889,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0007,"{'BATCH_SIZE': 768, 'LEARNING_RATE': 1.3408933722521186e-05, 'WEIGHT_DECAY': 0.000716700296826889, 'SMOOTH_L1_BETA': 2.0, 'EARLY_STOPPING_PATIENCE': 15, 'MLP_HIDDEN_DIM': 192, 'MLP_BLOCK_COUNT': 3, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.19564565333539996, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7121638445911771, 'MAE': 0.0008076882085458625, 'RMSE': 0.00144327446012999, 'MAPE': 41.269356942730404, 'Bias': -0.0004369721813389184, 'SelectionScore': 0.0037975799669864073, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0007\model-20260531-181258-99dfe0c9-train20260611-025439
8,0.0025215654487442925,COMPLETE,512,20,0.0029702335828275706,4,0.28946458481045884,512,2,0.3,128,8.506130261310454e-06,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0008,"{'BATCH_SIZE': 512, 'LEARNING_RATE': 0.0029702335828275706, 'WEIGHT_DECAY': 8.506130261310454e-06, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 20, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 4, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.28946458481045884, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.861411176716964, 'MAE': 0.0006017522366962287, 'RMSE': 0.001001475565339379, 'MAPE': 27.887722646971582, 'Bias': -0.00040648288465453393, 'SelectionScore': 0.0025215654487442925, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0008\model-20260531-181258-99dfe0c9-train20260611-025520
9,0.0029395733937149122,COMPLETE,768,20,0.002308116043820004,5,0.3220316714575893,512,2,0.3,256,1.6538925281746247e-06,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0009,"{'BATCH_SIZE': 768, 'LEARNING_RATE': 0.002308116043820004, 'WEIGHT_DECAY': 1.6538925281746247e-06, 'SMOOTH_L1_BETA': 0.3, 'EARLY_STOPPING_PATIENCE': 20, 'MLP_HIDDEN_DIM': 512, 'MLP_BLOCK_COUNT': 5, 'MLP_HIDDEN_MULT': 2, 'MLP_DROPOUT': 0.3220316714575893, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7939654490400304, 'MAE': 0.0007939447256466051, 'RMSE': 0.001221086083344903, 'MAPE': 34.72627753765094, 'Bias': -0.0005712193815623466, 'SelectionScore': 0.0029395733937149122, 'phase': 'val'}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\mlp\trial_0009\model-20260531-181258-99dfe0c9-train20260611-025542
