number,value,state,params_MAX_DEPTH,params_MAX_FEATURES,params_MIN_SAMPLES_LEAF,params_MIN_SAMPLES_SPLIT,params_N_ESTIMATORS,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.004498616016168723,COMPLETE,8.0,sqrt,8,16,800,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0000,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 8, 'MIN_SAMPLES_LEAF': 8, 'MIN_SAMPLES_SPLIT': 16, 'MAX_FEATURES': 'sqrt', 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.6063788377729945, 'MAE': 0.0009688692858553463, 'RMSE': 0.0016877785905484194, 'MAPE': 55.5790202377091, 'Bias': -0.0002718507739285869, 'SelectionScore': 0.004498616016168723}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0000\model-20260531-181258-99dfe0c9-train20260611-005520
1,0.0035379865123669075,COMPLETE,16.0,1.0,2,15,600,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0001,"{'N_ESTIMATORS': 600, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 2, 'MIN_SAMPLES_SPLIT': 15, 'MAX_FEATURES': 1.0, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7539235457927389, 'MAE': 0.0007684763627329689, 'RMSE': 0.0013344775869253002, 'MAPE': 32.20465852838574, 'Bias': -0.000353592876713823, 'SelectionScore': 0.0035379865123669075}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0001\model-20260531-181258-99dfe0c9-train20260611-005530
2,0.005154979982127991,COMPLETE,6.0,log2,5,11,900,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0002,"{'N_ESTIMATORS': 900, 'MAX_DEPTH': 6, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 11, 'MAX_FEATURES': 'log2', 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.48497819770324324, 'MAE': 0.00115444907861003, 'RMSE': 0.0019305855935055007, 'MAPE': 82.48572792100008, 'Bias': -0.00020311262132165946, 'SelectionScore': 0.005154979982127991}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0002\model-20260531-181258-99dfe0c9-train20260611-005700
3,0.004947134715817551,COMPLETE,8.0,log2,5,6,1100,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0003,"{'N_ESTIMATORS': 1100, 'MAX_DEPTH': 8, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 6, 'MAX_FEATURES': 'log2', 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.5239470840391309, 'MAE': 0.001091729356690391, 'RMSE': 0.0018561106760453996, 'MAPE': 72.35333866215937, 'Bias': -0.0002529193618889164, 'SelectionScore': 0.004947134715817551}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0003\model-20260531-181258-99dfe0c9-train20260611-005705
4,0.003869155799536354,COMPLETE,8.0,0.5,2,18,700,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0004,"{'N_ESTIMATORS': 700, 'MAX_DEPTH': 8, 'MIN_SAMPLES_LEAF': 2, 'MIN_SAMPLES_SPLIT': 18, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7113417395577062, 'MAE': 0.000798979328145945, 'RMSE': 0.0014453340991987928, 'MAPE': 35.79505151667904, 'Bias': -0.00030814041228471693, 'SelectionScore': 0.003869155799536354}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0004\model-20260531-181258-99dfe0c9-train20260611-005713
5,0.0034800998612311285,COMPLETE,32.0,0.7,6,10,700,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0005,"{'N_ESTIMATORS': 700, 'MAX_DEPTH': 32, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 10, 'MAX_FEATURES': 0.7, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7649885842290658, 'MAE': 0.0007151647804670713, 'RMSE': 0.0013041295430678218, 'MAPE': 29.7166320630868, 'Bias': -0.0003439108496066353, 'SelectionScore': 0.0034800998612311285}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0005\model-20260531-181258-99dfe0c9-train20260611-005800
6,0.004746523389492074,COMPLETE,6.0,log2,7,18,1200,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0006,"{'N_ESTIMATORS': 1200, 'MAX_DEPTH': 6, 'MIN_SAMPLES_LEAF': 7, 'MIN_SAMPLES_SPLIT': 18, 'MAX_FEATURES': 'log2', 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.5629334718795969, 'MAE': 0.0010349038927144425, 'RMSE': 0.0017784842684118818, 'MAPE': 65.24446363889679, 'Bias': -0.00024239103372485516, 'SelectionScore': 0.004746523389492074}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0006\model-20260531-181258-99dfe0c9-train20260611-005958
7,0.00329132394077191,COMPLETE,16.0,0.5,6,8,800,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0007,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 8, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7911834668452431, 'MAE': 0.0006660260377286345, 'RMSE': 0.0012293023008716388, 'MAPE': 28.572538239434166, 'Bias': -0.00028999491489379344, 'SelectionScore': 0.00329132394077191}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0007\model-20260531-181258-99dfe0c9-train20260611-010004
8,0.003331845528957129,COMPLETE,16.0,0.7,5,5,1000,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0008,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 5, 'MIN_SAMPLES_SPLIT': 5, 'MAX_FEATURES': 0.7, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7857736874463448, 'MAE': 0.0006781588478242959, 'RMSE': 0.0012451241599585616, 'MAPE': 28.70944170670036, 'Bias': -0.0003023445743283499, 'SelectionScore': 0.003331845528957129}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0008\model-20260531-181258-99dfe0c9-train20260611-010113
9,0.0033206619944870326,COMPLETE,24.0,0.5,8,12,1000,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0009,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 24, 'MIN_SAMPLES_LEAF': 8, 'MIN_SAMPLES_SPLIT': 12, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7877658917771841, 'MAE': 0.0006693529308457775, 'RMSE': 0.001239321101372563, 'MAPE': 28.68845426339985, 'Bias': -0.00029321358639814815, 'SelectionScore': 0.0033206619944870326}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0009\model-20260531-181258-99dfe0c9-train20260611-010316
10,0.0035081663664089362,COMPLETE,10.0,0.5,3,8,400,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0010,"{'N_ESTIMATORS': 400, 'MAX_DEPTH': 10, 'MIN_SAMPLES_LEAF': 3, 'MIN_SAMPLES_SPLIT': 8, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.76353951033459, 'MAE': 0.0007126547144971003, 'RMSE': 0.0013081439777140869, 'MAPE': 31.12624005941211, 'Bias': -0.00028614749277060936, 'SelectionScore': 0.0035081663664089362}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0010\model-20260531-181258-99dfe0c9-train20260611-010441
11,0.003600659190387194,COMPLETE,24.0,0.5,8,13,1000,384,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0011,"{'N_ESTIMATORS': 1000, 'MAX_DEPTH': 24, 'MIN_SAMPLES_LEAF': 8, 'MIN_SAMPLES_SPLIT': 13, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 384}","{'Samples': 3420, 'R2': 0.7492518025989868, 'MAE': 0.0007552697386586925, 'RMSE': 0.0013470855070712078, 'MAPE': 32.54674913331462, 'Bias': -0.00031804542478945137, 'SelectionScore': 0.003600659190387194}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0011\model-20260531-181258-99dfe0c9-train20260611-010507
12,0.003308181949344679,COMPLETE,24.0,0.5,7,8,600,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0012,"{'N_ESTIMATORS': 600, 'MAX_DEPTH': 24, 'MIN_SAMPLES_LEAF': 7, 'MIN_SAMPLES_SPLIT': 8, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7893773708276786, 'MAE': 0.0006664611542554779, 'RMSE': 0.0012346070959130728, 'MAPE': 28.579676190076956, 'Bias': -0.0002912941865520623, 'SelectionScore': 0.003308181949344679}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0012\model-20260531-181258-99dfe0c9-train20260611-010733
13,0.0033143147770543072,COMPLETE,24.0,0.35,8,9,400,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0013,"{'N_ESTIMATORS': 400, 'MAX_DEPTH': 24, 'MIN_SAMPLES_LEAF': 8, 'MIN_SAMPLES_SPLIT': 9, 'MAX_FEATURES': 0.35, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7886500847547596, 'MAE': 0.0006665412177580574, 'RMSE': 0.0012367368261223994, 'MAPE': 29.15653639523026, 'Bias': -0.00027908044514908016, 'SelectionScore': 0.0033143147770543072}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0013\model-20260531-181258-99dfe0c9-train20260611-010826
14,0.0038583451221683215,COMPLETE,8.0,0.5,7,4,600,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0014,"{'N_ESTIMATORS': 600, 'MAX_DEPTH': 8, 'MIN_SAMPLES_LEAF': 7, 'MIN_SAMPLES_SPLIT': 4, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7125383225647618, 'MAE': 0.0008100731136703323, 'RMSE': 0.0014423352966679928, 'MAPE': 36.33297788801518, 'Bias': -0.00032110201954688096, 'SelectionScore': 0.0038583451221683215}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0014\model-20260531-181258-99dfe0c9-train20260611-010851
15,0.00330591091122641,COMPLETE,16.0,0.5,6,2,800,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0015,"{'N_ESTIMATORS': 800, 'MAX_DEPTH': 16, 'MIN_SAMPLES_LEAF': 6, 'MIN_SAMPLES_SPLIT': 2, 'MAX_FEATURES': 0.5, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7894586499339316, 'MAE': 0.0006661092568384973, 'RMSE': 0.0012343688559750788, 'MAPE': 28.51983865180498, 'Bias': -0.0002924355391859913, 'SelectionScore': 0.00330591091122641}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\randomforest\trial_0015\model-20260531-181258-99dfe0c9-train20260611-010917
