number,value,state,params_BATCH_SIZE,params_FUSION_BILINEAR_DIM,params_FUSION_OUTPUT_DIM,params_GRAD_CLIP_NORM,params_HEAD_DROPOUT,params_LEARNING_RATE,params_SCALAR_EMBED_DIM,params_SCALAR_RES_BLOCKS,params_SCALAR_RES_DROPOUT,params_SEQUENCE_PROJECTOR_DIM,params_SEQ_LEN,params_WAVENET_ATTENTION_DIM,params_WAVENET_DILATIONS_KEY,params_WAVENET_DILATION_CYCLES,params_WAVENET_DROPOUT,params_WAVENET_KERNEL_SIZE,params_WAVENET_RESIDUAL_CHANNELS,params_WAVENET_SKIP_CHANNELS,params_WEIGHT_DECAY,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.0006484568305011949,COMPLETE,64,48,512,1.5,0.3151886489788739,8.871108753715968e-05,192,4,0.19776854523491602,192,2048,64,1-2-4-8-16-32-64,2,0.1503031079911837,3,96,128,1.0808774559463289e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0000,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 8.871108753715968e-05, 'WEIGHT_DECAY': 1.0808774559463289e-06, 'GRAD_CLIP_NORM': 1.5, 'WAVENET_RESIDUAL_CHANNELS': 96, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.1503031079911837, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 192, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.19776854523491602, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.3151886489788739}","{'best_value': 0.0006484568305011949, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005357584276611284, 'best_val_selection_score': 0.0006484568305011949}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0000\model-20260531-181258-99dfe0c9-train20260612-021850
1,0.0006333280518144754,COMPLETE,48,64,384,1.0,0.10224209721782068,9.797417766857218e-05,256,4,0.08198146579569754,288,2048,96,1-2-4-8-16-32,2,0.08654304105878183,5,96,128,9.063980376767424e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0001,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 9.797417766857218e-05, 'WEIGHT_DECAY': 9.063980376767424e-05, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 96, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 5, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32], 'WAVENET_DROPOUT': 0.08654304105878183, 'WAVENET_ATTENTION_DIM': 96, 'SEQUENCE_PROJECTOR_DIM': 288, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 4, 'SCALAR_RES_DROPOUT': 0.08198146579569754, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.10224209721782068}","{'best_value': 0.0006333280518144754, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005249103162460762, 'best_val_selection_score': 0.0006333280518144754}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0001\model-20260531-181258-99dfe0c9-train20260612-031545
2,0.0006772812250147614,COMPLETE,48,80,256,1.5,0.1692816353243644,0.0001319628341871201,192,3,0.201833601843096,288,2048,192,1-2-4-8-16-32-64-128-256,2,0.10792026837249605,3,64,128,1.464234339945073e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0002,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.0001319628341871201, 'WEIGHT_DECAY': 1.464234339945073e-06, 'GRAD_CLIP_NORM': 1.5, 'WAVENET_RESIDUAL_CHANNELS': 64, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.10792026837249605, 'WAVENET_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 288, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.201833601843096, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 256, 'HEAD_DROPOUT': 0.1692816353243644}","{'best_value': 0.0006772812250147614, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005613994800883147, 'best_val_selection_score': 0.0006772812250147614}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0002\model-20260531-181258-99dfe0c9-train20260612-041710
3,0.0006692484989157398,COMPLETE,96,64,512,0.8,0.15735573408131684,0.00021407833666487882,128,5,0.17261360805869178,384,2048,64,1-2-4-8-16-32-64-128-256,2,0.18412037803761094,5,64,128,5.861512318015514e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0003,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00021407833666487882, 'WEIGHT_DECAY': 5.861512318015514e-05, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 64, 'WAVENET_SKIP_CHANNELS': 128, 'WAVENET_KERNEL_SIZE': 5, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.18412037803761094, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.17261360805869178, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.15735573408131684}","{'best_value': 0.0006692484989157398, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000557848964713988, 'best_val_selection_score': 0.0006692484989157398}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0003\model-20260531-181258-99dfe0c9-train20260612-050800
4,0.0006708938336229093,COMPLETE,96,48,384,1.0,0.297046273408771,0.0003808171022578391,128,3,0.13670829110506957,256,4096,64,1-2-4-8-16-32-64-128-256,2,0.050537281985762114,3,32,64,9.022522515464044e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0004,"{'SEQ_LEN': 4096, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.0003808171022578391, 'WEIGHT_DECAY': 9.022522515464044e-06, 'GRAD_CLIP_NORM': 1.0, 'WAVENET_RESIDUAL_CHANNELS': 32, 'WAVENET_SKIP_CHANNELS': 64, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.050537281985762114, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 3, 'SCALAR_RES_DROPOUT': 0.13670829110506957, 'FUSION_BILINEAR_DIM': 48, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.297046273408771}","{'best_value': 0.0006708938336229093, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005583365441458089, 'best_val_selection_score': 0.0006708938336229093}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0004\model-20260531-181258-99dfe0c9-train20260612-060422
5,0.0006766281284075764,COMPLETE,96,112,512,1.5,0.3123962061107512,5.489721757656989e-05,192,5,0.08512663906350902,256,2048,192,1-2-4-8-16-32-64-128-256,4,0.10990722859809007,3,96,96,1.2608304848204235e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0005,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 5.489721757656989e-05, 'WEIGHT_DECAY': 1.2608304848204235e-05, 'GRAD_CLIP_NORM': 1.5, 'WAVENET_RESIDUAL_CHANNELS': 96, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 4, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.10990722859809007, 'WAVENET_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 192, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.08512663906350902, 'FUSION_BILINEAR_DIM': 112, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.3123962061107512}","{'best_value': 0.0006766281284075764, 'objective_metric': 'selection', 'best_val_mae_raw': 0.000562598787047131, 'best_val_selection_score': 0.0006766281284075764}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0005\model-20260531-181258-99dfe0c9-train20260612-065635
6,0.0006635342051942262,COMPLETE,64,80,384,0.8,0.25939559193609407,0.00025524613241261824,128,2,0.09802857957823854,256,2048,96,1-2-4-8-16-32-64-128-256,2,0.04332060667501372,5,48,192,3.2886370297749024e-05,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0006,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00025524613241261824, 'WEIGHT_DECAY': 3.2886370297749024e-05, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 192, 'WAVENET_KERNEL_SIZE': 5, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64, 128, 256], 'WAVENET_DROPOUT': 0.04332060667501372, 'WAVENET_ATTENTION_DIM': 96, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 128, 'SCALAR_RES_BLOCKS': 2, 'SCALAR_RES_DROPOUT': 0.09802857957823854, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 384, 'HEAD_DROPOUT': 0.25939559193609407}","{'best_value': 0.0006635342051942262, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005519181395505932, 'best_val_selection_score': 0.0006635342051942262}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0006\model-20260531-181258-99dfe0c9-train20260612-091930
7,0.0006266534264681146,COMPLETE,96,80,512,0.8,0.17180318616124057,5.883665926122765e-05,256,5,0.16056987813589596,192,2048,192,1-2-4-8-16-32-64,2,0.1984657468013663,3,48,96,7.422360479817181e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0007,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 5.883665926122765e-05, 'WEIGHT_DECAY': 7.422360479817181e-06, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.1984657468013663, 'WAVENET_ATTENTION_DIM': 192, 'SEQUENCE_PROJECTOR_DIM': 192, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.16056987813589596, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.17180318616124057}","{'best_value': 0.0006266534264681146, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005215713146962268, 'best_val_selection_score': 0.0006266534264681146}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0007\model-20260531-181258-99dfe0c9-train20260612-100857
8,0.0006423439493417209,COMPLETE,96,64,512,0.8,0.22236121857739077,6.47827005338835e-05,256,5,0.2660654672984202,256,2048,128,1-2-4-8-16-32-64,2,0.15066663913807304,3,48,192,2.198626921378024e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0008,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 6.47827005338835e-05, 'WEIGHT_DECAY': 2.198626921378024e-06, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 192, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.15066663913807304, 'WAVENET_ATTENTION_DIM': 128, 'SEQUENCE_PROJECTOR_DIM': 256, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.2660654672984202, 'FUSION_BILINEAR_DIM': 64, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.22236121857739077}","{'best_value': 0.0006423439493417209, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005319416976057021, 'best_val_selection_score': 0.0006423439493417209}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0008\model-20260531-181258-99dfe0c9-train20260612-104434
9,0.0006169312807824459,COMPLETE,96,80,512,0.8,0.13772901505653612,0.00026346012627294395,256,5,0.16756707324818068,384,2048,64,1-2-4-8-16-32-64,2,0.15423814057236668,3,48,96,3.6167749695059798e-06,C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0009,"{'SEQ_LEN': 2048, 'BATCH_SIZE': 96, 'LEARNING_RATE': 0.00026346012627294395, 'WEIGHT_DECAY': 3.6167749695059798e-06, 'GRAD_CLIP_NORM': 0.8, 'WAVENET_RESIDUAL_CHANNELS': 48, 'WAVENET_SKIP_CHANNELS': 96, 'WAVENET_KERNEL_SIZE': 3, 'WAVENET_DILATION_CYCLES': 2, 'WAVENET_DILATIONS_PER_CYCLE': [1, 2, 4, 8, 16, 32, 64], 'WAVENET_DROPOUT': 0.15423814057236668, 'WAVENET_ATTENTION_DIM': 64, 'SEQUENCE_PROJECTOR_DIM': 384, 'SCALAR_EMBED_DIM': 256, 'SCALAR_RES_BLOCKS': 5, 'SCALAR_RES_DROPOUT': 0.16756707324818068, 'FUSION_BILINEAR_DIM': 80, 'FUSION_OUTPUT_DIM': 512, 'HEAD_DROPOUT': 0.13772901505653612}","{'best_value': 0.0006169312807824459, 'objective_metric': 'selection', 'best_val_mae_raw': 0.0005111507148780093, 'best_val_selection_score': 0.0006169312807824459}",C:\Users\jiaotong1\5080train\update\run_logs\wavenet-5080-clean-20260612-021847\artifacts\wavenet\trial_0009\model-20260531-181258-99dfe0c9-train20260612-112551
