number,value,state,params_COLSAMPLE_BYTREE,params_LEARNING_RATE,params_MAX_DEPTH,params_MIN_CHILD_WEIGHT,params_N_ESTIMATORS,params_REG_ALPHA,params_REG_LAMBDA,params_SUBSAMPLE,params_WAVEFORM_FEATURE_COUNT,user_attrs_artifact_root,user_attrs_config_params,user_attrs_metrics,user_attrs_model_dir
0,0.0029359519283495466,COMPLETE,0.8684152931365712,0.07126133537558624,6,18.2467514001474,3000,0.00010079276887990879,0.0037940845958864496,0.6908428257784337,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0000,"{'N_ESTIMATORS': 3000, 'LEARNING_RATE': 0.07126133537558624, 'MAX_DEPTH': 6, 'MIN_CHILD_WEIGHT': 18.2467514001474, 'SUBSAMPLE': 0.6908428257784337, 'COLSAMPLE_BYTREE': 0.8684152931365712, 'REG_LAMBDA': 0.0037940845958864496, 'REG_ALPHA': 0.00010079276887990879, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8231229425606208, 'MAE': 0.0006367924256949542, 'RMSE': 0.001131389141302905, 'MAPE': 25.850650429284503, 'Bias': -0.00037989467588822503, 'SelectionScore': 0.0029359519283495466}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0000\model-20260531-181258-99dfe0c9-train20260611-014327
1,0.003205538442804963,COMPLETE,0.7683370710104274,0.010833450721648489,5,2.8648955363366477,4500,6.822390181601416e-06,0.012030461619610727,0.925960730495063,64,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0001,"{'N_ESTIMATORS': 4500, 'LEARNING_RATE': 0.010833450721648489, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 2.8648955363366477, 'SUBSAMPLE': 0.925960730495063, 'COLSAMPLE_BYTREE': 0.7683370710104274, 'REG_LAMBDA': 0.012030461619610727, 'REG_ALPHA': 6.822390181601416e-06, 'WAVEFORM_FEATURE_COUNT': 64}","{'Samples': 3420, 'R2': 0.7968320726007528, 'MAE': 0.0006572844578578941, 'RMSE': 0.0012125616511904367, 'MAPE': 28.525869644558476, 'Bias': -0.0003474001308427299, 'SelectionScore': 0.003205538442804963}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0001\model-20260531-181258-99dfe0c9-train20260611-014354
2,0.0032371374765065484,COMPLETE,0.8390788704723632,0.06923478034925869,8,1.5665339254708268,2750,0.0007193577796358434,0.0010123565000338239,0.9968133506575104,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0002,"{'N_ESTIMATORS': 2750, 'LEARNING_RATE': 0.06923478034925869, 'MAX_DEPTH': 8, 'MIN_CHILD_WEIGHT': 1.5665339254708268, 'SUBSAMPLE': 0.9968133506575104, 'COLSAMPLE_BYTREE': 0.8390788704723632, 'REG_LAMBDA': 0.0010123565000338239, 'REG_ALPHA': 0.0007193577796358434, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7919618956164514, 'MAE': 0.0006626262355617903, 'RMSE': 0.0012270088575804976, 'MAPE': 25.996707149915547, 'Bias': -0.0003685842672022137, 'SelectionScore': 0.0032371374765065484}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0002\model-20260531-181258-99dfe0c9-train20260611-014408
3,0.003430265995476784,COMPLETE,0.8133546705792566,0.02717496391207872,3,19.593509865425244,750,3.6397309271825226e-06,1.6614376313383021,0.9300085933996209,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0003,"{'N_ESTIMATORS': 750, 'LEARNING_RATE': 0.02717496391207872, 'MAX_DEPTH': 3, 'MIN_CHILD_WEIGHT': 19.593509865425244, 'SUBSAMPLE': 0.9300085933996209, 'COLSAMPLE_BYTREE': 0.8133546705792566, 'REG_LAMBDA': 1.6614376313383021, 'REG_ALPHA': 3.6397309271825226e-06, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7717201643409821, 'MAE': 0.0007084503155190399, 'RMSE': 0.0012853163424396336, 'MAPE': 31.82326273478248, 'Bias': -0.00042448823810432087, 'SelectionScore': 0.003430265995476784}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0003\model-20260531-181258-99dfe0c9-train20260611-014449
4,0.0029920802430608694,COMPLETE,0.8676646489942883,0.035417516531571554,5,9.667833206466728,1750,0.0030082968527761393,0.5150350170671573,0.8707196565556392,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0004,"{'N_ESTIMATORS': 1750, 'LEARNING_RATE': 0.035417516531571554, 'MAX_DEPTH': 5, 'MIN_CHILD_WEIGHT': 9.667833206466728, 'SUBSAMPLE': 0.8707196565556392, 'COLSAMPLE_BYTREE': 0.8676646489942883, 'REG_LAMBDA': 0.5150350170671573, 'REG_ALPHA': 0.0030082968527761393, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.8206299132073925, 'MAE': 0.0006278250074417788, 'RMSE': 0.001139334538463465, 'MAPE': 26.46362972256463, 'Bias': -0.0003571226170017634, 'SelectionScore': 0.0029920802430608694}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0004\model-20260531-181258-99dfe0c9-train20260611-014455
5,0.003789270473793376,COMPLETE,0.6088749972788572,0.014241739858878862,3,0.6502312170282649,750,4.131439830175403e-06,4.909578086110154,0.8902215957756107,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0005,"{'N_ESTIMATORS': 750, 'LEARNING_RATE': 0.014241739858878862, 'MAX_DEPTH': 3, 'MIN_CHILD_WEIGHT': 0.6502312170282649, 'SUBSAMPLE': 0.8902215957756107, 'COLSAMPLE_BYTREE': 0.6088749972788572, 'REG_LAMBDA': 4.909578086110154, 'REG_ALPHA': 4.131439830175403e-06, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.7256768200924217, 'MAE': 0.0007663191509527811, 'RMSE': 0.001408988690236924, 'MAPE': 35.40154038393812, 'Bias': -0.00040797423505855267, 'SelectionScore': 0.003789270473793376}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0005\model-20260531-181258-99dfe0c9-train20260611-014504
6,0.0034629952162121757,COMPLETE,0.6881052195853599,0.015323395397904704,3,4.273712567906062,1500,0.8866758661374607,0.02634454584691089,0.8474686067227604,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0006,"{'N_ESTIMATORS': 1500, 'LEARNING_RATE': 0.015323395397904704, 'MAX_DEPTH': 3, 'MIN_CHILD_WEIGHT': 4.273712567906062, 'SUBSAMPLE': 0.8474686067227604, 'COLSAMPLE_BYTREE': 0.6881052195853599, 'REG_LAMBDA': 0.02634454584691089, 'REG_ALPHA': 0.8866758661374607, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7669719862898252, 'MAE': 0.0007200403258609015, 'RMSE': 0.0012986147176264648, 'MAPE': 32.70516574350723, 'Bias': -0.0004423619514978138, 'SelectionScore': 0.0034629952162121757}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0006\model-20260531-181258-99dfe0c9-train20260611-014509
7,0.003268451126726385,COMPLETE,0.9142064685703122,0.005981239188691928,6,0.9337645466164003,1750,2.4214375123242835,10.387873076680174,0.7929923274071122,128,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0007,"{'N_ESTIMATORS': 1750, 'LEARNING_RATE': 0.005981239188691928, 'MAX_DEPTH': 6, 'MIN_CHILD_WEIGHT': 0.9337645466164003, 'SUBSAMPLE': 0.7929923274071122, 'COLSAMPLE_BYTREE': 0.9142064685703122, 'REG_LAMBDA': 10.387873076680174, 'REG_ALPHA': 2.4214375123242835, 'WAVEFORM_FEATURE_COUNT': 128}","{'Samples': 3420, 'R2': 0.792604170740733, 'MAE': 0.0006546602504906667, 'RMSE': 0.0012251133239078239, 'MAPE': 27.155136903682244, 'Bias': -0.00037138873197288075, 'SelectionScore': 0.003268451126726385}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0007\model-20260531-181258-99dfe0c9-train20260611-014518
8,0.0030606859133306564,COMPLETE,0.850243382138144,0.06936756886970731,6,8.052419220801426,2500,2.263141746257391e-06,0.003374688321211472,0.7259530682019205,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0008,"{'N_ESTIMATORS': 2500, 'LEARNING_RATE': 0.06936756886970731, 'MAX_DEPTH': 6, 'MIN_CHILD_WEIGHT': 8.052419220801426, 'SUBSAMPLE': 0.7259530682019205, 'COLSAMPLE_BYTREE': 0.850243382138144, 'REG_LAMBDA': 0.003374688321211472, 'REG_ALPHA': 2.263141746257391e-06, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.8123564925792357, 'MAE': 0.0006325574723966346, 'RMSE': 0.001165314163429537, 'MAPE': 25.68031752256917, 'Bias': -0.00038291991648237487, 'SelectionScore': 0.0030606859133306564}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0008\model-20260531-181258-99dfe0c9-train20260611-014531
9,0.0031963243723211084,COMPLETE,0.9116170517985652,0.07570560102600175,7,5.563495126830525,2750,0.012746278466993523,0.8205186894549229,0.6558412233761917,256,C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0009,"{'N_ESTIMATORS': 2750, 'LEARNING_RATE': 0.07570560102600175, 'MAX_DEPTH': 7, 'MIN_CHILD_WEIGHT': 5.563495126830525, 'SUBSAMPLE': 0.6558412233761917, 'COLSAMPLE_BYTREE': 0.9116170517985652, 'REG_LAMBDA': 0.8205186894549229, 'REG_ALPHA': 0.012746278466993523, 'WAVEFORM_FEATURE_COUNT': 256}","{'Samples': 3420, 'R2': 0.7975073906337992, 'MAE': 0.0006618545481865311, 'RMSE': 0.0012105447325819166, 'MAPE': 27.052331842442747, 'Bias': -0.0003964467679817017, 'SelectionScore': 0.0031963243723211084}",C:\Users\jiaotong1\5080train\update\run_logs\publication-hpo-20260611-005517\artifacts\xgboost\trial_0009\model-20260531-181258-99dfe0c9-train20260611-014553
