"Name","Version","Entry","SizeGB","SizeMB","LastWriteTime"
"annotated-types","0.7.0","__Dv5HuDseGJUHiYeFjym","0","0","2026/5/6 19:02:51"
"msgpack","1.1.1","_6z07XbA97lVsCPt_XrUg","0.0002","0.2","2026/5/6 19:02:50"
"fsspec","2026.4.0","_a1aY4Mxuc4xCYhCl7yqt","0.0007","0.7","2026/5/19 20:02:05"
"requests","2.32.5","_cT8w1VM_SwCxvSFZrLiv","0.0002","0.2","2026/2/13 17:17:08"
"SQLAlchemy","2.0.46","_GwU5MNwDE1PgKXTDiGS4","0.0082","8.4","2026/2/2 19:21:26"
"typing-inspection","0.4.2","_Hku0I3HiJKx07mS4OxdK","0","0.1","2026/2/2 19:21:21"
"soupsieve","2.8.3","_oDmtggRcIRKMdsGCyXLW","0.0001","0.1","2026/5/20 14:00:23"
"gdown","5.1.0","_SSmAIUWHvr71woZEV82h","0","0","2026/5/20 14:00:23"
"alive-progress","3.3.0","_um2_wQ4qTBR7TYhv7Qpe","0.0002","0.2","2026/3/2 19:25:31"
"future","1.0.0","_uTVAKII2P4ZYR3HEgqlD","0.0014","1.5","2026/1/30 11:49:39"
"setuptools","70.2.0","_WzTk1uj0EJmtsIHSF0u5","0.003","3.1","2026/2/26 13:23:06"
"stack-data","0.6.3","_xQZGnFweMVJKNXW_-R3g","0.0001","0.1","2026/5/6 19:02:49"
"requests-oauthlib","2.0.0","_Xre4iRZsKqR9TDZAUuZy","0.0001","0.1","2026/1/30 11:49:38"
"kiwisolver","1.4.9","_Y77Ygb9PtWVEJ4YILOAf","0.0002","0.2","2026/1/30 11:49:38"
"orjson","3.11.7","-_Z1zPDsCsiPrfeq0yTY-","0.0003","0.3","2026/2/26 12:28:03"
"anyio","4.10.0","-AFHTEYDi3h5hD7U7WFjB","0.0004","0.4","2026/5/6 19:02:48"
"numpy-typing-compat","20251206.2.4","-bMsEv8J7Uv3-Ed7Losv8","0","0","2026/2/24 17:32:18"
"silero-vad","6.2.1","-CGZ3V_zM0KCcYrJ2dNad","0.0105","10.8","2026/5/19 20:35:49"
"pyworld","0.3.4","-DcMEm7gAnkIPhztndUFa","0.0004","0.4","2026/5/20 14:00:21"
"torchaudio","2.8.0+cu128","-hAzzOjxBmWZbakTXdJcY","0.0222","22.7","2026/1/30 11:49:40"
"safetensors","0.5.2","-iGtLJuZXkxPgNOtvhT0a","0.0007","0.7","2026/1/30 11:49:37"
"shellingham","1.5.4","-iP2sot9-8ixqEnLL5SC_","0","0","2026/1/30 11:49:38"
"ruff","0.13.0","-nbrAtw6wl9m2gnSECL0N","0.036","36.9","2026/5/6 19:26:59"
"flatten-dict","0.4.2","-oxZcGW9lHwdbxI_WvLvV","0","0","2026/5/6 19:02:48"
"munch","4.0.0","-qaCKkVVwSsvFM6mVLGfK","0","0","2026/5/6 19:02:50"
"pyasn1_modules","0.4.2","-RO5ZELmfrp0DP32_Mw_B","0.0007","0.7","2026/1/30 11:49:39"
"pyarrow","23.0.1","-RV4yh5ut65QPJErPuGvl","0.0788","80.7","2026/2/26 12:28:19"
"numpy","2.3.5","-TtEORbdLFF3WPEZ-gbkq","0.04","40.9","2026/2/26 13:23:10"
"absl-py","2.4.0","-vmkPnMwJoKatl-37EaXI","0.0004","0.5","2026/5/20 14:00:19"
"fastapi","0.116.2","00ZD0ZEufOKRPYL2qL9G9","0.0006","0.6","2026/1/30 11:49:40"
